polarity,word
-5,انتبهوا
-5,ماعدا
-5,تكدس
-5,هزيل
-5,جاف
-5,اتمني
-5,التكيف
-5,مايرحم
-5,حر
-5,ياريت
-5,صيانه
-5,دايخه
-5,حرارة
-5,حراره
-5,سوء
-5,ماامداني
-5,حياه
-5,خلق
-5,حيل
-5,الشعيب
-5,سلق
-5,اقل
-5,هلكانه
-5,مالها
-5,ادب
-5,ماتقدرون
-5,تشجير
-5,انصدمت
-5,نجمه
-5,لايرقي
-5,توجع
-5,واحده
-5,الأخطاء
-5,مااستغلت
-5,مشكلته
-5,مشكله
-5,مشاكل
-5,مافي
-5,الانتهاء
-5,مايستاهل
-5,جريئ
-5,جريئين
-5,تقفل
-5,موعارف
-5,موعارفه
-5,مظلات
-5,ورفضوا
-5,قليله
-5,قليل
-5,يسوي
-5,استغرب
-5,استغربت
-5,غريبه
-5,ماودك
-5,منفسة
-5,شديد
-5,عزابي
-5,غريب
-5,مكررة
-5,خطر
-5,جاهل
-5,متعب
-5,مهو
-5,اسعارهم
-5,أسعاره
-5,لكن
-5,مافية
-5,هيصه
-5,إعادة
-5,توهقت
-5,اسوء
-5,تكرار
-5,طفران
-5,طفرانه
-5,نكديه
-5,نكد
-5,اوفر
-5,بدون
-5,بعيد
-5,مقفل
-5,العيب
-5,اقل
-5,المراهقين
-5,انتبه
-5,مغلق
-5,ممنوع
-5,خسارة
-5,غلط
-5,يهمل
-5,مسكر
-5,فلوس
-5,مختزل
-5,ياخذون
-5,بفوقيه
-5,تعبوا
-5,ماعرفوا
-5,ضياع
-5,سحبو
-5,تقليد
-5,ذبحونا
-5,تفقدك
-5,ماتبيها
-5,ميت
-5,يرقم
-5,رقص
-5,أغاني
-5,لا حياء
-5,الفاضي
-5,لاتقدر
-5,الاختلاط
-5,التبرج
-5,المال
-5,للوقت
-5,خربوا
-5,ماشفت
-5,مكرر
-5,لاتراعي
-5,تضرب
-5,ولا فيه
-5,لدحديره
-5,استهتار
-5,حياء
-5,ماعاد
-5,حياء
-5,زعلوني
-5,العزف
-5,مشابهه
-5,مايصلح
-5,الوحيده
-5,مايرتاح
-5,ضيقه
-5,النجمتين
-5,يعيق
-5,اضطريت
-5,الحسنه
-5,خيبه
-5,نتمنى
-5,تحت
-5,مكافحه
-5,ليسوا
-5,خاب
-5,مو
-5,غلط
-5,ماقدرت
-5,موب
-5,افا
-5,عقدتك
-5,بلا
-5,خذلت
-5,خسر
-5,لا يعمل
-5,اشتكيت
-5,العفن
